[94m[INFO] 2022-09-08 12:31:33.062179 [VREP]: Connecting to VRep...[0m
[94m[INFO] 2022-09-08 12:31:33.063483 [VREP]: Connection successfully established.[0m
Argument List: ['main_orch.py', '0', '1']
Robot_id:  0
Missione:  1
[94m[INFO] 2022-09-08 12:31:33.063680 [ALL HUMANS]: Subscribing to position data...[0m
[94m[INFO] 2022-09-08 12:31:33.078866 [ALL HUMANS]: Subscribing to fatigue data...[0m
[94m[INFO] 2022-09-08 12:31:33.111266 [ALL HUMANS]: Subscribing to served data...[0m
[94m[INFO] 2022-09-08 12:31:33.117081 [ROBOT 0]: Subscribing to position data...[0m
[94m[INFO] 2022-09-08 12:31:33.166271 [ROBOT 0]: Subscribing to charge data...[0m
[94m[INFO] 2022-09-08 12:31:33.203772 [ROBOT 0]: Subscribing to distance data...[0m
[DEBUG] 2022-09-08 12:32:04.251488 [NAVIGATION]: drawing point 0.0 7.1...
[DEBUG] 2022-09-08 12:32:04.411454 [NAVIGATION]: drawing point 0.0 7.6...
[DEBUG] 2022-09-08 12:32:04.510453 [NAVIGATION]: drawing point 0.0 8.1...
[DEBUG] 2022-09-08 12:32:04.653457 [NAVIGATION]: drawing point 0.0 8.5...
[DEBUG] 2022-09-08 12:32:04.801034 [NAVIGATION]: drawing point 0.5 8.5...
[DEBUG] 2022-09-08 12:32:04.925143 [NAVIGATION]: drawing point 1.0 8.5...
[DEBUG] 2022-09-08 12:32:05.093702 [NAVIGATION]: drawing point 1.5 8.5...
[DEBUG] 2022-09-08 12:32:05.211112 [NAVIGATION]: drawing point 2.0 8.5...
[DEBUG] 2022-09-08 12:32:05.329823 [NAVIGATION]: drawing point 2.5 8.5...
[DEBUG] 2022-09-08 12:32:05.452746 [NAVIGATION]: drawing point 3.0 8.5...
[DEBUG] 2022-09-08 12:32:05.594719 [NAVIGATION]: drawing point 3.5 8.5...
[DEBUG] 2022-09-08 12:32:05.691244 [NAVIGATION]: drawing point 4.0 8.5...
[DEBUG] 2022-09-08 12:32:05.852665 [NAVIGATION]: drawing point 4.5 8.5...
[DEBUG] 2022-09-08 12:32:05.965635 [NAVIGATION]: drawing point 5.0 8.5...
[DEBUG] 2022-09-08 12:32:06.184377 [NAVIGATION]: drawing point 5.5 8.5...
[DEBUG] 2022-09-08 12:32:06.393474 [NAVIGATION]: drawing point 6.0 8.5...
[DEBUG] 2022-09-08 12:32:06.668732 [NAVIGATION]: drawing point 6.5 8.5...
[DEBUG] 2022-09-08 12:32:06.868401 [NAVIGATION]: drawing point 7.0 8.5...
[DEBUG] 2022-09-08 12:32:07.079488 [NAVIGATION]: drawing point 7.5 8.5...
[DEBUG] 2022-09-08 12:32:07.314060 [NAVIGATION]: drawing point 8.0 8.5...
[DEBUG] 2022-09-08 12:32:07.531351 [NAVIGATION]: drawing point 8.5 8.5...
[DEBUG] 2022-09-08 12:32:07.734426 [NAVIGATION]: drawing point 9.0 8.5...
[DEBUG] 2022-09-08 12:32:07.953408 [NAVIGATION]: drawing point 9.5 8.5...
[DEBUG] 2022-09-08 12:32:08.117727 [NAVIGATION]: drawing point 10.0 8.5...
[DEBUG] 2022-09-08 12:32:08.287713 [NAVIGATION]: drawing point 10.5 8.5...
[DEBUG] 2022-09-08 12:32:08.456087 [NAVIGATION]: drawing point 11.0 8.5...
[DEBUG] 2022-09-08 12:32:08.559413 [NAVIGATION]: drawing point 11.5 8.5...
[DEBUG] 2022-09-08 12:32:08.757850 [NAVIGATION]: drawing point 12.0 8.5...
[DEBUG] 2022-09-08 12:32:08.940138 [NAVIGATION]: drawing point 12.5 8.5...
[DEBUG] 2022-09-08 12:32:09.180392 [NAVIGATION]: drawing point 13.0 8.5...
[DEBUG] 2022-09-08 12:32:09.413379 [NAVIGATION]: drawing point 13.5 8.5...
[DEBUG] 2022-09-08 12:32:09.592772 [NAVIGATION]: drawing point 14.0 8.5...
[DEBUG] 2022-09-08 12:32:09.869268 [NAVIGATION]: drawing point 14.5 8.5...
[DEBUG] 2022-09-08 12:32:10.029175 [NAVIGATION]: drawing point 15.0 8.5...
[DEBUG] 2022-09-08 12:32:10.223093 [NAVIGATION]: drawing point 15.5 4.25...
[DEBUG] 2022-09-08 12:32:10.430327 [NAVIGATION]: drawing point 15.5 4.75...
[DEBUG] 2022-09-08 12:32:10.574326 [NAVIGATION]: drawing point 15.5 5.25...
[DEBUG] 2022-09-08 12:32:10.679540 [NAVIGATION]: drawing point 15.5 5.75...
[DEBUG] 2022-09-08 12:32:10.794682 [NAVIGATION]: drawing point 15.5 6.25...
[DEBUG] 2022-09-08 12:32:10.962331 [NAVIGATION]: drawing point 15.5 6.75...
[DEBUG] 2022-09-08 12:32:11.166338 [NAVIGATION]: drawing point 15.5 7.25...
[DEBUG] 2022-09-08 12:32:11.423794 [NAVIGATION]: drawing point 15.5 7.75...
[DEBUG] 2022-09-08 12:32:11.646433 [NAVIGATION]: drawing point 15.5 8.25...
[DEBUG] 2022-09-08 12:32:11.871822 [NAVIGATION]: drawing point 1.85 2.995...
[DEBUG] 2022-09-08 12:32:12.052682 [NAVIGATION]: drawing point 2.35 2.995...
[DEBUG] 2022-09-08 12:32:12.269515 [NAVIGATION]: drawing point 2.85 2.995...
[DEBUG] 2022-09-08 12:32:12.503089 [NAVIGATION]: drawing point 3.35 2.995...
[DEBUG] 2022-09-08 12:32:12.700272 [NAVIGATION]: drawing point 3.85 2.995...
[DEBUG] 2022-09-08 12:32:12.893725 [NAVIGATION]: drawing point 4.35 2.995...
[DEBUG] 2022-09-08 12:32:13.081829 [NAVIGATION]: drawing point 4.85 2.995...
[DEBUG] 2022-09-08 12:32:13.194793 [NAVIGATION]: drawing point 5.35 2.995...
[DEBUG] 2022-09-08 12:32:13.307926 [NAVIGATION]: drawing point 5.85 2.995...
[DEBUG] 2022-09-08 12:32:13.433738 [NAVIGATION]: drawing point 6.35 2.995...
[DEBUG] 2022-09-08 12:32:13.600145 [NAVIGATION]: drawing point 6.85 2.995...
[DEBUG] 2022-09-08 12:32:13.778827 [NAVIGATION]: drawing point 7.35 2.995...
[DEBUG] 2022-09-08 12:32:13.882480 [NAVIGATION]: drawing point 7.85 2.995...
[DEBUG] 2022-09-08 12:32:14.036580 [NAVIGATION]: drawing point 8.35 2.995...
[DEBUG] 2022-09-08 12:32:14.166374 [NAVIGATION]: drawing point 8.85 2.995...
[DEBUG] 2022-09-08 12:32:14.336627 [NAVIGATION]: drawing point 9.35 2.995...
[DEBUG] 2022-09-08 12:32:14.482181 [NAVIGATION]: drawing point 9.85 2.995...
[DEBUG] 2022-09-08 12:32:14.638122 [NAVIGATION]: drawing point 10.35 2.995...
[DEBUG] 2022-09-08 12:32:14.811462 [NAVIGATION]: drawing point 10.85 2.995...
[DEBUG] 2022-09-08 12:32:14.962158 [NAVIGATION]: drawing point 11.35 2.995...
[DEBUG] 2022-09-08 12:32:15.076465 [NAVIGATION]: drawing point 11.85 2.995...
[DEBUG] 2022-09-08 12:32:15.229620 [NAVIGATION]: drawing point 12.35 2.995...
[DEBUG] 2022-09-08 12:32:15.337510 [NAVIGATION]: drawing point 12.85 2.995...
[DEBUG] 2022-09-08 12:32:15.518205 [NAVIGATION]: drawing point 13.35 2.995...
[DEBUG] 2022-09-08 12:32:15.627543 [NAVIGATION]: drawing point 1.85 2.995...
[DEBUG] 2022-09-08 12:32:15.748552 [NAVIGATION]: drawing point 1.85 3.495...
[DEBUG] 2022-09-08 12:32:15.898267 [NAVIGATION]: drawing point 1.85 3.995...
[DEBUG] 2022-09-08 12:32:16.000229 [NAVIGATION]: drawing point 1.85 4.495...
[DEBUG] 2022-09-08 12:32:16.173961 [NAVIGATION]: drawing point 1.85 4.995...
[DEBUG] 2022-09-08 12:32:16.283840 [NAVIGATION]: drawing point 1.85 5.495...
[DEBUG] 2022-09-08 12:32:16.417976 [NAVIGATION]: drawing point 1.85 5.995...
[DEBUG] 2022-09-08 12:32:16.551190 [NAVIGATION]: drawing point 1.85 6.495...
[DEBUG] 2022-09-08 12:32:16.710252 [NAVIGATION]: drawing point 1.85 6.725...
[DEBUG] 2022-09-08 12:32:16.871921 [NAVIGATION]: drawing point 2.35 6.725...
[DEBUG] 2022-09-08 12:32:16.983809 [NAVIGATION]: drawing point 2.85 6.725...
[DEBUG] 2022-09-08 12:32:17.111537 [NAVIGATION]: drawing point 3.35 6.725...
[DEBUG] 2022-09-08 12:32:17.295206 [NAVIGATION]: drawing point 3.85 6.725...
[DEBUG] 2022-09-08 12:32:17.427594 [NAVIGATION]: drawing point 4.35 6.725...
[DEBUG] 2022-09-08 12:32:17.530065 [NAVIGATION]: drawing point 4.85 6.725...
[DEBUG] 2022-09-08 12:32:17.688812 [NAVIGATION]: drawing point 5.35 6.725...
[DEBUG] 2022-09-08 12:32:17.799889 [NAVIGATION]: drawing point 5.85 6.725...
[DEBUG] 2022-09-08 12:32:17.960733 [NAVIGATION]: drawing point 6.35 6.725...
[DEBUG] 2022-09-08 12:32:18.090813 [NAVIGATION]: drawing point 6.85 6.725...
[DEBUG] 2022-09-08 12:32:18.206870 [NAVIGATION]: drawing point 7.35 6.725...
[DEBUG] 2022-09-08 12:32:18.347134 [NAVIGATION]: drawing point 7.85 6.725...
[DEBUG] 2022-09-08 12:32:18.486525 [NAVIGATION]: drawing point 8.35 6.725...
[DEBUG] 2022-09-08 12:32:18.632018 [NAVIGATION]: drawing point 8.85 6.725...
[DEBUG] 2022-09-08 12:32:18.740821 [NAVIGATION]: drawing point 9.35 6.725...
[DEBUG] 2022-09-08 12:32:18.874038 [NAVIGATION]: drawing point 9.85 6.725...
[DEBUG] 2022-09-08 12:32:19.001708 [NAVIGATION]: drawing point 10.35 6.725...
[DEBUG] 2022-09-08 12:32:19.124768 [NAVIGATION]: drawing point 10.85 6.725...
[DEBUG] 2022-09-08 12:32:19.280520 [NAVIGATION]: drawing point 11.35 6.725...
[DEBUG] 2022-09-08 12:32:19.407616 [NAVIGATION]: drawing point 11.85 6.725...
[DEBUG] 2022-09-08 12:32:19.550143 [NAVIGATION]: drawing point 12.35 6.725...
[DEBUG] 2022-09-08 12:32:19.678124 [NAVIGATION]: drawing point 12.85 6.725...
[DEBUG] 2022-09-08 12:32:19.841127 [NAVIGATION]: drawing point 13.35 6.725...
[DEBUG] 2022-09-08 12:32:20.010318 [NAVIGATION]: drawing point 13.52 2.995...
[DEBUG] 2022-09-08 12:32:20.170783 [NAVIGATION]: drawing point 13.52 3.495...
[DEBUG] 2022-09-08 12:32:20.292033 [NAVIGATION]: drawing point 13.52 3.995...
[DEBUG] 2022-09-08 12:32:20.410860 [NAVIGATION]: drawing point 13.52 4.495...
[DEBUG] 2022-09-08 12:32:20.522859 [NAVIGATION]: drawing point 13.52 4.995...
[DEBUG] 2022-09-08 12:32:20.665214 [NAVIGATION]: drawing point 13.52 5.495...
[DEBUG] 2022-09-08 12:32:20.804593 [NAVIGATION]: drawing point 13.52 5.995...
[DEBUG] 2022-09-08 12:32:20.942844 [NAVIGATION]: drawing point 13.52 6.495...
[DEBUG] 2022-09-08 12:32:21.038138 [NAVIGATION]: drawing point 15.5 4.25...
[DEBUG] 2022-09-08 12:32:21.159752 [NAVIGATION]: drawing point 16.0 4.25...
[DEBUG] 2022-09-08 12:32:21.339259 [NAVIGATION]: drawing point 16.5 4.25...
[DEBUG] 2022-09-08 12:32:21.463539 [NAVIGATION]: drawing point 17.0 4.25...
[DEBUG] 2022-09-08 12:32:21.596468 [NAVIGATION]: drawing point 17.5 4.25...
[DEBUG] 2022-09-08 12:32:21.708358 [NAVIGATION]: drawing point 18.0 4.25...
[DEBUG] 2022-09-08 12:32:21.849802 [NAVIGATION]: drawing point 18.5 4.25...
[DEBUG] 2022-09-08 12:32:21.984063 [NAVIGATION]: drawing point 19.0 4.25...
[DEBUG] 2022-09-08 12:32:22.301008 [NAVIGATION]: drawing point 18.025 0.0...
[DEBUG] 2022-09-08 12:32:23.526197 [NAVIGATION]: drawing point 18.025 0.5...
[DEBUG] 2022-09-08 12:32:23.729338 [NAVIGATION]: drawing point 18.025 1.0...
[DEBUG] 2022-09-08 12:32:23.878979 [NAVIGATION]: drawing point 19.45 4.25...
[DEBUG] 2022-09-08 12:32:23.998410 [NAVIGATION]: drawing point 19.45 4.75...
[DEBUG] 2022-09-08 12:32:24.134385 [NAVIGATION]: drawing point 19.45 5.25...
[DEBUG] 2022-09-08 12:32:24.257428 [NAVIGATION]: drawing point 19.45 5.75...
[DEBUG] 2022-09-08 12:32:24.358600 [NAVIGATION]: drawing point 19.45 6.25...
[DEBUG] 2022-09-08 12:32:24.501939 [NAVIGATION]: drawing point 19.45 6.75...
[DEBUG] 2022-09-08 12:32:24.664323 [NAVIGATION]: drawing point 19.45 6.95...
[DEBUG] 2022-09-08 12:32:24.802217 [NAVIGATION]: drawing point 19.95 6.95...
[DEBUG] 2022-09-08 12:32:24.956384 [NAVIGATION]: drawing point 20.45 6.95...
[DEBUG] 2022-09-08 12:32:25.075507 [NAVIGATION]: drawing point 20.95 6.95...
[DEBUG] 2022-09-08 12:32:25.186163 [NAVIGATION]: drawing point 21.45 6.95...
[DEBUG] 2022-09-08 12:32:25.300097 [NAVIGATION]: drawing point 21.95 6.95...
[DEBUG] 2022-09-08 12:32:25.421910 [NAVIGATION]: drawing point 22.45 6.95...
[DEBUG] 2022-09-08 12:32:25.556437 [NAVIGATION]: drawing point 22.95 6.95...
[DEBUG] 2022-09-08 12:32:25.711645 [NAVIGATION]: drawing point 23.45 6.95...
[DEBUG] 2022-09-08 12:32:25.843220 [NAVIGATION]: drawing point 23.95 6.95...
[DEBUG] 2022-09-08 12:32:25.947912 [NAVIGATION]: drawing point 24.45 6.95...
[DEBUG] 2022-09-08 12:32:26.076962 [NAVIGATION]: drawing point 24.95 6.95...
[DEBUG] 2022-09-08 12:32:26.334223 [NAVIGATION]: drawing point 25.45 6.95...
[DEBUG] 2022-09-08 12:32:26.607912 [NAVIGATION]: drawing point 25.95 6.95...
[DEBUG] 2022-09-08 12:32:26.817963 [NAVIGATION]: drawing point 26.45 6.95...
[DEBUG] 2022-09-08 12:32:26.946572 [NAVIGATION]: drawing point 26.7 4.25...
[DEBUG] 2022-09-08 12:32:27.071186 [NAVIGATION]: drawing point 26.7 4.75...
[DEBUG] 2022-09-08 12:32:27.220455 [NAVIGATION]: drawing point 26.7 5.25...
[DEBUG] 2022-09-08 12:32:27.356571 [NAVIGATION]: drawing point 26.7 5.75...
[DEBUG] 2022-09-08 12:32:27.462310 [NAVIGATION]: drawing point 26.7 6.25...
[DEBUG] 2022-09-08 12:32:27.630584 [NAVIGATION]: drawing point 26.7 6.75...
[DEBUG] 2022-09-08 12:32:27.737982 [NAVIGATION]: drawing point 18.025 0.0...
[DEBUG] 2022-09-08 12:32:27.841294 [NAVIGATION]: drawing point 18.525 0.0...
[DEBUG] 2022-09-08 12:32:28.013422 [NAVIGATION]: drawing point 19.025 0.0...
[DEBUG] 2022-09-08 12:32:28.140929 [NAVIGATION]: drawing point 19.525 0.0...
[DEBUG] 2022-09-08 12:32:28.250354 [NAVIGATION]: drawing point 20.025 0.0...
[DEBUG] 2022-09-08 12:32:28.370809 [NAVIGATION]: drawing point 20.525 0.0...
[DEBUG] 2022-09-08 12:32:28.503782 [NAVIGATION]: drawing point 21.025 0.0...
[DEBUG] 2022-09-08 12:32:28.633568 [NAVIGATION]: drawing point 21.525 0.0...
[DEBUG] 2022-09-08 12:32:28.764193 [NAVIGATION]: drawing point 22.025 0.0...
[DEBUG] 2022-09-08 12:32:28.864701 [NAVIGATION]: drawing point 22.525 0.0...
[DEBUG] 2022-09-08 12:32:29.006574 [NAVIGATION]: drawing point 23.025 0.0...
[DEBUG] 2022-09-08 12:32:29.178878 [NAVIGATION]: drawing point 23.525 0.0...
[DEBUG] 2022-09-08 12:32:29.284934 [NAVIGATION]: drawing point 24.025 0.0...
[DEBUG] 2022-09-08 12:32:29.393241 [NAVIGATION]: drawing point 24.525 0.0...
[DEBUG] 2022-09-08 12:32:29.522272 [NAVIGATION]: drawing point 25.025 0.0...
[DEBUG] 2022-09-08 12:32:29.692843 [NAVIGATION]: drawing point 25.525 0.0...
[DEBUG] 2022-09-08 12:32:29.814289 [NAVIGATION]: drawing point 26.025 0.0...
[DEBUG] 2022-09-08 12:32:29.926554 [NAVIGATION]: drawing point 26.525 0.0...
[DEBUG] 2022-09-08 12:32:30.035645 [NAVIGATION]: drawing point 27.025 0.0...
[DEBUG] 2022-09-08 12:32:30.171526 [NAVIGATION]: drawing point 27.525 0.0...
[DEBUG] 2022-09-08 12:32:30.309763 [NAVIGATION]: drawing point 28.0 0.0...
[DEBUG] 2022-09-08 12:32:30.421831 [NAVIGATION]: drawing point 28.0 0.5...
[DEBUG] 2022-09-08 12:32:30.557137 [NAVIGATION]: drawing point 28.0 1.0...
[DEBUG] 2022-09-08 12:32:30.718247 [NAVIGATION]: drawing point 26.7 4.25...
[DEBUG] 2022-09-08 12:32:30.856817 [NAVIGATION]: drawing point 27.2 4.25...
[DEBUG] 2022-09-08 12:32:30.981607 [NAVIGATION]: drawing point 27.7 4.25...
[DEBUG] 2022-09-08 12:32:31.092508 [NAVIGATION]: drawing point 28.2 4.25...
[DEBUG] 2022-09-08 12:32:31.209904 [NAVIGATION]: drawing point 28.7 4.25...
[DEBUG] 2022-09-08 12:32:31.340020 [NAVIGATION]: drawing point 29.2 4.25...
[DEBUG] 2022-09-08 12:32:31.469395 [NAVIGATION]: drawing point 28.0 1.1...
[DEBUG] 2022-09-08 12:32:31.609290 [NAVIGATION]: drawing point 28.5 1.1...
[DEBUG] 2022-09-08 12:32:31.852796 [NAVIGATION]: drawing point 29.0 1.1...
[DEBUG] 2022-09-08 12:32:31.987257 [NAVIGATION]: drawing point 29.5 1.1...
[DEBUG] 2022-09-08 12:32:32.106213 [NAVIGATION]: drawing point 30.0 1.1...
[DEBUG] 2022-09-08 12:32:32.245408 [NAVIGATION]: drawing point 30.5 1.1...
[DEBUG] 2022-09-08 12:32:32.359105 [NAVIGATION]: drawing point 31.0 1.1...
[DEBUG] 2022-09-08 12:32:32.482949 [NAVIGATION]: drawing point 31.5 1.1...
[DEBUG] 2022-09-08 12:32:32.605402 [NAVIGATION]: drawing point 32.0 1.1...
[DEBUG] 2022-09-08 12:32:32.727592 [NAVIGATION]: drawing point 32.5 1.1...
[DEBUG] 2022-09-08 12:32:32.869352 [NAVIGATION]: drawing point 33.0 1.1...
[DEBUG] 2022-09-08 12:32:33.013818 [NAVIGATION]: drawing point 33.5 1.1...
[DEBUG] 2022-09-08 12:32:33.120608 [NAVIGATION]: drawing point 34.0 1.1...
[DEBUG] 2022-09-08 12:32:33.235945 [NAVIGATION]: drawing point 34.5 1.1...
[DEBUG] 2022-09-08 12:32:33.378154 [NAVIGATION]: drawing point 35.0 1.1...
[DEBUG] 2022-09-08 12:32:33.532274 [NAVIGATION]: drawing point 35.5 1.1...
[DEBUG] 2022-09-08 12:32:33.652156 [NAVIGATION]: drawing point 36.0 1.1...
[DEBUG] 2022-09-08 12:32:33.787443 [NAVIGATION]: drawing point 36.5 1.1...
[DEBUG] 2022-09-08 12:32:33.909834 [NAVIGATION]: drawing point 37.0 1.1...
[DEBUG] 2022-09-08 12:32:34.031893 [NAVIGATION]: drawing point 37.5 1.1...
[DEBUG] 2022-09-08 12:32:34.135162 [NAVIGATION]: drawing point 38.0 1.1...
[DEBUG] 2022-09-08 12:32:34.247757 [NAVIGATION]: drawing point 38.5 1.1...
[DEBUG] 2022-09-08 12:32:34.432424 [NAVIGATION]: drawing point 39.0 1.1...
[DEBUG] 2022-09-08 12:32:34.561947 [NAVIGATION]: drawing point 39.5 1.1...
[DEBUG] 2022-09-08 12:32:34.677005 [NAVIGATION]: drawing point 40.0 1.1...
[DEBUG] 2022-09-08 12:32:34.779181 [NAVIGATION]: drawing point 40.5 1.1...
